URN	RefSeq_IDs	Ensembl_IDs	Experiment_Type	DMS_Assay_Type	Score_Interpretation	Score_Hypothesis_Evaluation	Timestamp
urn:mavedb:00000497-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to trypsin digestion.	Does not fit: Higher log10 K50 values indicate greater resistance to digestion (more stable), which is opposite to the hypothesis.	2025-04-17 14:09:20
urn:mavedb:00000497-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to chymotrypsin digestion.	Does not fit: Higher log10 K50 values indicate greater resistance to digestion (more stable), which is opposite to the hypothesis.	2025-04-17 14:09:20
urn:mavedb:00000498-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to chymotrypsin digestion.	Does not fit: Higher log10 K50 values indicate greater resistance to digestion (more stable), which is opposite to the hypothesis.	2025-04-17 14:09:20
urn:mavedb:00000498-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the variant's susceptibility to trypsin digestion.	Does not fit: Higher scores indicate increased susceptibility to digestion (less stable), while lower scores indicate resistance to digestion (more stable).	2025-04-17 14:09:25
urn:mavedb:00000498-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value calculated using a coupled model, reflecting the variant's stability.	Does not fit: More negative dG values indicate increased stability, while more positive dG values indicate decreased stability.	2025-04-17 14:09:25
urn:mavedb:00000499-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value calculated using a coupled model, reflecting the variant's stability.	Does not fit: More negative dG values indicate increased stability, while more positive dG values indicate decreased stability.	2025-04-17 14:09:25
urn:mavedb:00000499-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the variant's susceptibility to trypsin digestion.	Does not fit: Higher scores indicate increased susceptibility to digestion (less stable), while lower scores indicate resistance to digestion (more stable).	2025-04-17 14:09:25
urn:mavedb:00000499-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the variant's susceptibility to chymotrypsin digestion.	Does not fit: Higher scores indicate increased susceptibility to digestion (less stable), while lower scores indicate resistance to digestion (more stable).	2025-04-17 14:09:25
urn:mavedb:00000500-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to trypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), while lower scores indicate decreased stability (more digestion).	2025-04-17 14:09:30
urn:mavedb:00000500-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), while lower scores indicate decreased stability (more digestion).	2025-04-17 14:09:30
urn:mavedb:00000500-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, reflecting the stability of the protein variant.	Does not fit: More negative dG values indicate increased stability, while more positive dG values indicate decreased stability.	2025-04-17 14:09:30
urn:mavedb:00000501-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, reflecting the stability of the protein variant.	Does not fit: More negative dG values indicate increased stability, while more positive dG values indicate decreased stability.	2025-04-17 14:09:30
urn:mavedb:00000501-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to trypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), while lower scores indicate decreased stability (more digestion).	2025-04-17 14:09:30
urn:mavedb:00000501-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's stability against chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, suggesting increased stability, which is the opposite of LoF.	2025-04-17 14:09:35
urn:mavedb:00000502-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, calculated from counts across replicates and proteases, indicating the stability of the protein.	Does not fit: More negative dG values indicate increased stability, which is the opposite of LoF.	2025-04-17 14:09:35
urn:mavedb:00000502-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's stability against chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, suggesting increased stability, which is the opposite of LoF.	2025-04-17 14:09:35
urn:mavedb:00000502-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's stability against trypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, suggesting increased stability, which is the opposite of LoF.	2025-04-17 14:09:35
urn:mavedb:00000503-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, calculated from counts across replicates and proteases, indicating the stability of the protein.	Does not fit: More negative dG values indicate increased stability, which is the opposite of LoF.	2025-04-17 14:09:35
urn:mavedb:00000503-a-1	Not Found	Not Found	DMS	Protein Stability	Higher scores (log10 K50) indicate a higher concentration of protease required for digestion, suggesting increased protein stability.	Does not fit: Higher scores indicate increased stability, so the hypothesis should be inverted.	2025-04-17 14:09:40
urn:mavedb:00000503-a-2	Not Found	Not Found	DMS	Protein Stability	Higher scores (log10 K50) indicate a higher concentration of protease required for digestion, suggesting increased protein stability.	Does not fit: Higher scores indicate increased stability, so the hypothesis should be inverted.	2025-04-17 14:09:40
urn:mavedb:00000504-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG) of protein folding, calculated from protease digestion data.	Does not fit: dG represents the change in Gibbs free energy of protein folding, not a direct measure of function or expression.	2025-04-17 14:09:40
urn:mavedb:00000504-a-1	Not Found	Not Found	DMS	Protein Stability	Higher scores (log10 K50) indicate a higher concentration of protease required for digestion, suggesting increased protein stability.	Does not fit: Higher scores indicate increased stability, so the hypothesis should be inverted.	2025-04-17 14:09:40
urn:mavedb:00000504-a-2	Not Found	Not Found	DMS	Protein Stability	Higher scores (log10 K50) indicate a higher concentration of protease required for digestion, suggesting increased protein stability.	Does not fit: Higher scores indicate increased stability, so the hypothesis should be inverted.	2025-04-17 14:09:40
urn:mavedb:00000505-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG) of the protein variant.	Does not fit: Lower dG values indicate greater stability, so the hypothesis should be inverted.	2025-04-17 14:09:45
urn:mavedb:00000505-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's stability against Trypsin digestion.	Does not fit: Higher log10 K50 values indicate greater stability against digestion, so the hypothesis should be inverted.	2025-04-17 14:09:45
urn:mavedb:00000505-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's stability against Chymotrypsin digestion.	Does not fit: Higher log10 K50 values indicate greater stability against digestion, so the hypothesis should be inverted.	2025-04-17 14:09:45
urn:mavedb:00000506-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's stability against Trypsin digestion.	Does not fit: Higher log10 K50 values indicate greater stability against digestion, so the hypothesis should be inverted.	2025-04-17 14:09:45
urn:mavedb:00000506-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's stability against Chymotrypsin digestion.	Does not fit: Higher log10 K50 values indicate greater stability against digestion, so the hypothesis should be inverted.	2025-04-17 14:09:45
urn:mavedb:00000506-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG) of protein folding, with lower dG values indicating greater stability.	Does not fit: Lower dG values indicate greater stability, which is the opposite of the hypothesis.	2025-04-17 14:09:50
urn:mavedb:00000507-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's resistance to Trypsin digestion.	Does not fit: Higher log10 K50 values indicate greater resistance to digestion, suggesting increased stability, which is the opposite of the hypothesis.	2025-04-17 14:09:50
urn:mavedb:00000507-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's resistance to Chymotrypsin digestion.	Does not fit: Higher log10 K50 values indicate greater resistance to digestion, suggesting increased stability, which is the opposite of the hypothesis.	2025-04-17 14:09:50
urn:mavedb:00000507-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG) of protein folding, with lower dG values indicating greater stability.	Does not fit: Lower dG values indicate greater stability, which is the opposite of the hypothesis.	2025-04-17 14:09:50
urn:mavedb:00000508-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG) of protein folding, with lower dG values indicating greater stability.	Does not fit: Lower dG values indicate greater stability, which is the opposite of the hypothesis.	2025-04-17 14:09:50
urn:mavedb:00000508-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to trypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), so higher scores are more like GoF.	2025-04-17 14:09:54
urn:mavedb:00000508-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), so higher scores are more like GoF.	2025-04-17 14:09:54
urn:mavedb:00000509-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to trypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), so higher scores are more like GoF.	2025-04-17 14:09:54
urn:mavedb:00000509-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), so higher scores are more like GoF.	2025-04-17 14:09:54
urn:mavedb:00000509-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value calculated using a coupled model, reflecting the protein's stability.	Does not fit: dG values represent free energy of unfolding, so lower dG values indicate less stable proteins.	2025-04-17 14:09:54
urn:mavedb:00000510-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG) of protein folding, with lower dG values indicating greater stability.	Does not fit: Lower scores indicate increased stability, which is the opposite of the hypothesis.	2025-04-17 14:09:59
urn:mavedb:00000510-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, suggesting greater stability, which is the opposite of the hypothesis.	2025-04-17 14:09:59
urn:mavedb:00000510-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's resistance to trypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, suggesting greater stability, which is the opposite of the hypothesis.	2025-04-17 14:09:59
urn:mavedb:00000511-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's resistance to trypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, suggesting greater stability, which is the opposite of the hypothesis.	2025-04-17 14:09:59
urn:mavedb:00000511-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, suggesting greater stability, which is the opposite of the hypothesis.	2025-04-17 14:09:59
urn:mavedb:00000511-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG) for each variant.	Does not fit: Lower dG values likely indicate decreased stability, while higher dG values indicate increased stability.	2025-04-17 14:10:04
urn:mavedb:00000512-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to Trypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion (more stable), while lower scores indicate decreased resistance (less stable).	2025-04-17 14:10:04
urn:mavedb:00000512-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to Chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion (more stable), while lower scores indicate decreased resistance (less stable).	2025-04-17 14:10:04
urn:mavedb:00000512-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG) for each variant.	Does not fit: Lower dG values likely indicate decreased stability, while higher dG values indicate increased stability.	2025-04-17 14:10:04
urn:mavedb:00000513-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG) for each variant.	Does not fit: Lower dG values likely indicate decreased stability, while higher dG values indicate increased stability.	2025-04-17 14:10:04
urn:mavedb:00000513-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the variant's resistance to trypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), which is the opposite of LoF.	2025-04-17 14:10:09
urn:mavedb:00000513-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the variant's resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), which is the opposite of LoF.	2025-04-17 14:10:09
urn:mavedb:00000514-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the variant's resistance to trypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), which is the opposite of LoF.	2025-04-17 14:10:09
urn:mavedb:00000514-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the variant's resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), which is the opposite of LoF.	2025-04-17 14:10:09
urn:mavedb:00000514-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, reflecting the stability of the protein variant.	Does not fit: Higher scores indicate increased stability, which is the opposite of LoF.	2025-04-17 14:10:09
urn:mavedb:00000515-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the calculated dG value, reflecting the stability of the protein variant.	Does not fit: Higher dG values likely indicate decreased stability, not increased expression or function.	2025-04-17 14:10:14
urn:mavedb:00000515-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 K50 value, reflecting the protein's resistance to chymotrypsin digestion.	Does not fit: Higher log10 K50 values likely indicate increased stability, not increased expression or function.	2025-04-17 14:10:14
urn:mavedb:00000515-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 K50 value, reflecting the protein's resistance to trypsin digestion.	Does not fit: Higher log10 K50 values likely indicate increased stability, not increased expression or function.	2025-04-17 14:10:14
urn:mavedb:00000516-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 K50 value, reflecting the protein's resistance to trypsin digestion.	Does not fit: Higher log10 K50 values likely indicate increased stability, not increased expression or function.	2025-04-17 14:10:14
urn:mavedb:00000516-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 K50 value, reflecting the protein's resistance to chymotrypsin digestion.	Does not fit: Higher log10 K50 values likely indicate increased stability, not increased expression or function.	2025-04-17 14:10:14
urn:mavedb:00000516-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the calculated dG value, reflecting the stability of the protein variant.	Does not fit: Lower dG values likely indicate decreased stability, while higher dG values indicate increased stability.	2025-04-17 14:10:19
urn:mavedb:00000517-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 K50 value, calculated from the ratio of sequence counts after chymotrypsin digestion.	Does not fit: Higher log10 K50 values likely indicate increased resistance to digestion (more stable), while lower values indicate decreased resistance (less stable).	2025-04-17 14:10:19
urn:mavedb:00000517-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 K50 value, calculated from the ratio of sequence counts after trypsin digestion.	Does not fit: Higher log10 K50 values likely indicate increased resistance to digestion (more stable), while lower values indicate decreased resistance (less stable).	2025-04-17 14:10:19
urn:mavedb:00000517-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the calculated dG value, reflecting the stability of the protein variant.	Does not fit: Lower dG values likely indicate decreased stability, while higher dG values indicate increased stability.	2025-04-17 14:10:19
urn:mavedb:00000518-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 K50 value, calculated from the ratio of sequence counts after chymotrypsin digestion.	Does not fit: Higher log10 K50 values likely indicate increased resistance to digestion (more stable), while lower values indicate decreased resistance (less stable).	2025-04-17 14:10:19
urn:mavedb:00000518-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against trypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, thus increased stability, which is the opposite of LoF.	2025-04-17 14:10:24
urn:mavedb:00000518-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value calculated using a coupled model, reflecting the protein's stability.	Does not fit: dG represents the change in Gibbs free energy, so a lower dG indicates greater stability.	2025-04-17 14:10:24
urn:mavedb:00000519-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value calculated using a coupled model, reflecting the protein's stability.	Does not fit: dG represents the change in Gibbs free energy, so a lower dG indicates greater stability.	2025-04-17 14:10:24
urn:mavedb:00000519-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against trypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, thus increased stability, which is the opposite of LoF.	2025-04-17 14:10:24
urn:mavedb:00000519-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, thus increased stability, which is the opposite of LoF.	2025-04-17 14:10:24
urn:mavedb:00000520-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against trypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, suggesting greater stability, while lower scores indicate decreased resistance and lower stability.	2025-04-17 14:10:29
urn:mavedb:00000520-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, suggesting greater stability, while lower scores indicate decreased resistance and lower stability.	2025-04-17 14:10:29
urn:mavedb:00000520-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, reflecting the protein's stability.	Does not fit: More negative dG values indicate greater stability, while more positive dG values indicate lower stability.	2025-04-17 14:10:29
urn:mavedb:00000521-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, suggesting greater stability, while lower scores indicate decreased resistance and lower stability.	2025-04-17 14:10:29
urn:mavedb:00000521-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against trypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, suggesting greater stability, while lower scores indicate decreased resistance and lower stability.	2025-04-17 14:10:29
urn:mavedb:00000521-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the calculated dG value, reflecting the stability of the protein variant.	Does not fit: Lower dG values indicate increased stability, which is the opposite of the hypothesis.	2025-04-17 14:10:34
urn:mavedb:00000522-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 K50 value, reflecting the protein's resistance to Trypsin digestion.	Does not fit: Higher log10 K50 values indicate increased resistance to digestion, suggesting increased stability, which is the opposite of the hypothesis.	2025-04-17 14:10:34
urn:mavedb:00000522-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 K50 value, reflecting the protein's resistance to Chymotrypsin digestion.	Does not fit: Higher log10 K50 values indicate increased resistance to digestion, suggesting increased stability, which is the opposite of the hypothesis.	2025-04-17 14:10:34
urn:mavedb:00000522-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the calculated dG value, reflecting the stability of the protein variant.	Does not fit: Lower dG values indicate increased stability, which is the opposite of the hypothesis.	2025-04-17 14:10:34
urn:mavedb:00000523-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 K50 value, reflecting the protein's resistance to Trypsin digestion.	Does not fit: Higher log10 K50 values indicate increased resistance to digestion, suggesting increased stability, which is the opposite of the hypothesis.	2025-04-17 14:10:34
urn:mavedb:00000523-a-2	Not Found	Not Found	DMS	Protein Stability	Higher scores indicate a higher log10 K50 value, representing the ratio of sequence counts after chymotrypsin digestion, suggesting increased stability against the protease.	Does not fit: The score represents stability against protease digestion, not general gain or loss of function.	2025-04-17 14:10:38
urn:mavedb:00000523-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value calculated from the coupled model, indicating the stability of the protein variant.	Does not fit: The score represents stability, not general gain or loss of function.	2025-04-17 14:10:38
urn:mavedb:00000524-a-1	Not Found	Not Found	DMS	Protein Stability	Higher scores indicate a higher log10 K50 value, representing the ratio of sequence counts after trypsin digestion, suggesting increased stability against the protease.	Does not fit: The score represents stability against protease digestion, not general gain or loss of function.	2025-04-17 14:10:38
urn:mavedb:00000524-a-2	Not Found	Not Found	DMS	Protein Stability	Higher scores indicate a higher log10 K50 value, representing the ratio of sequence counts after chymotrypsin digestion, suggesting increased stability against the protease.	Does not fit: The score represents stability against protease digestion, not general gain or loss of function.	2025-04-17 14:10:38
urn:mavedb:00000524-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value calculated from the coupled model, indicating the stability of the protein variant.	Does not fit: The score represents stability, not general gain or loss of function.	2025-04-17 14:10:38
urn:mavedb:00000525-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to trypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), which is the opposite of LoF.	2025-04-17 14:10:43
urn:mavedb:00000525-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), which is the opposite of LoF.	2025-04-17 14:10:43
urn:mavedb:00000525-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, reflecting the protein's stability.	Does not fit: Higher scores indicate increased stability, which is the opposite of LoF.	2025-04-17 14:10:43
urn:mavedb:00000526-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to trypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), which is the opposite of LoF.	2025-04-17 14:10:43
urn:mavedb:00000526-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), which is the opposite of LoF.	2025-04-17 14:10:43
urn:mavedb:00000526-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG), where lower dG values likely indicate greater protein stability.	Does not fit: Lower scores indicate increased stability, which is the opposite of the hypothesis.	2025-04-17 14:10:48
urn:mavedb:00000527-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to protein stability, where higher values likely indicate increased stability.	Fits	2025-04-17 14:10:48
urn:mavedb:00000527-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to protein stability, where higher values likely indicate increased stability.	Fits	2025-04-17 14:10:48
urn:mavedb:00000527-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG), where lower dG values likely indicate greater protein stability.	Does not fit: Lower scores indicate increased stability, which is the opposite of the hypothesis.	2025-04-17 14:10:48
urn:mavedb:00000528-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to protein stability, where higher values likely indicate increased stability.	Fits	2025-04-17 14:10:48
urn:mavedb:00000528-a-1	Not Found	Not Found	DMS	Protein Stability	Higher scores (log10 K50) indicate a higher concentration of protease required for digestion, suggesting increased protein stability.	Does not fit: Higher scores indicate increased stability, which is the opposite of LoF.	2025-04-17 14:10:53
urn:mavedb:00000528-0-1	Not Found	Not Found	DMS	Protein Stability	The score (dG value) represents the change in free energy of protein folding, with lower dG values indicating greater stability.	Does not fit: Lower dG values indicate increased stability, which is the opposite of LoF.	2025-04-17 14:10:53
urn:mavedb:00000529-0-1	Not Found	Not Found	DMS	Protein Stability	The score (dG value) represents the change in free energy of protein folding, with lower dG values indicating greater stability.	Does not fit: Lower dG values indicate increased stability, which is the opposite of LoF.	2025-04-17 14:10:53
urn:mavedb:00000529-a-1	Not Found	Not Found	DMS	Protein Stability	Higher scores (log10 K50) indicate a higher concentration of protease required for digestion, suggesting increased protein stability.	Does not fit: Higher scores indicate increased stability, which is the opposite of LoF.	2025-04-17 14:10:53
urn:mavedb:00000529-a-2	Not Found	Not Found	DMS	Protein Stability	Higher scores (log10 K50) indicate a higher concentration of protease required for digestion, suggesting increased protein stability.	Does not fit: Higher scores indicate increased stability, which is the opposite of LoF.	2025-04-17 14:10:53
urn:mavedb:00000530-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, indicating the change in Gibbs free energy, where lower dG values suggest greater stability.	Does not fit: Lower scores indicate increased stability, which is the opposite of the hypothesis.	2025-04-17 14:10:57
urn:mavedb:00000530-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 K50 value, where higher values indicate greater resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability, which is the opposite of the hypothesis.	2025-04-17 14:10:57
urn:mavedb:00000530-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 K50 value, where higher values indicate greater resistance to trypsin digestion.	Does not fit: Higher scores indicate increased stability, which is the opposite of the hypothesis.	2025-04-17 14:10:57
urn:mavedb:00000531-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, indicating the change in Gibbs free energy, where lower dG values suggest greater stability.	Does not fit: Lower scores indicate increased stability, which is the opposite of the hypothesis.	2025-04-17 14:10:57
urn:mavedb:00000531-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 K50 value, where higher values indicate greater resistance to trypsin digestion.	Does not fit: Higher scores indicate increased stability, which is the opposite of the hypothesis.	2025-04-17 14:10:57
urn:mavedb:00000531-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the variant's susceptibility to chymotrypsin digestion.	Does not fit: Higher scores indicate increased susceptibility to digestion (less stable), while lower scores indicate resistance to digestion (more stable).	2025-04-17 14:11:02
urn:mavedb:00000532-0-1	Not Found	Not Found	Other	N/A	The score represents the dG value calculated using a coupled model, reflecting the variant's stability.	Does not fit: More negative dG values indicate greater stability, while more positive dG values indicate lower stability.	2025-04-17 14:11:02
urn:mavedb:00000532-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the variant's susceptibility to chymotrypsin digestion.	Does not fit: Higher scores indicate increased susceptibility to digestion (less stable), while lower scores indicate resistance to digestion (more stable).	2025-04-17 14:11:02
urn:mavedb:00000532-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the variant's susceptibility to trypsin digestion.	Does not fit: Higher scores indicate increased susceptibility to digestion (less stable), while lower scores indicate resistance to digestion (more stable).	2025-04-17 14:11:02
urn:mavedb:00000533-0-1	Not Found	Not Found	Other	N/A	The score represents the dG value calculated using a coupled model, reflecting the variant's stability.	Does not fit: More negative dG values indicate greater stability, while more positive dG values indicate lower stability.	2025-04-17 14:11:02
urn:mavedb:00000533-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to trypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), so higher scores are more like WT.	2025-04-17 14:11:07
urn:mavedb:00000533-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), so higher scores are more like WT.	2025-04-17 14:11:07
urn:mavedb:00000534-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value calculated from counts across replicates and proteases, reflecting the protein's stability.	Does not fit: dG represents the change in free energy, so lower dG values indicate greater stability.	2025-04-17 14:11:07
